Temperature,Vdd,Va,Vb,Vx,LeakagePower
25.0,1.1,0.0,0.0,0.761170648,-1.91411348e-05
25.0,1.1,0.0,1.1,1.0997041,-3.38962441e-08
25.0,1.1,1.1,0.0,0.150113555,-1.1486098e-08
25.0,0.0,1.1,1.1,0.57212222,-1.17511696e-07
