 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00 -3.70548427e-03  1.09460812e-07 -3.70548427e-03  7.41085909e-03 
 2.50000000e+01  5.00000000e-02  1.10000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00 -3.70547537e-03  9.09146115e-08 -3.70547537e-03  7.41085983e-03 
 2.50000000e+01  1.00000000e-01  1.10000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70546785e-03  7.55762481e-08 -3.70546785e-03  7.41086013e-03 
 2.50000000e+01  1.50000000e-01  1.10000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70546144e-03  6.26413786e-08 -3.70546144e-03  7.41086024e-03 
 2.50000000e+01  2.00000000e-01  1.10000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70545595e-03  5.16246056e-08 -3.70545595e-03  7.41086028e-03 
 2.50000000e+01  2.50000000e-01  1.10000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70545125e-03  4.22152505e-08 -3.70545125e-03  7.41086029e-03 
 2.50000000e+01  3.00000000e-01  1.10000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70544724e-03  3.41911356e-08 -3.70544724e-03  7.41086030e-03 
 2.50000000e+01  3.50000000e-01  1.10000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70544384e-03  2.73761978e-08 -3.70544384e-03  7.41086030e-03 
 2.50000000e+01  4.00000000e-01  1.10000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70544096e-03  2.16216460e-08 -3.70544096e-03  7.41086030e-03 
 2.50000000e+01  4.50000000e-01  1.10000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543855e-03  1.67977690e-08 -3.70543855e-03  7.41086030e-03 
 2.50000000e+01  5.00000000e-01  1.10000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70543654e-03  1.27901025e-08 -3.70543654e-03  7.41086029e-03 
 2.50000000e+01  5.50000000e-01  1.10000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543490e-03  9.49724388e-09 -3.70543490e-03  7.41086029e-03 
 2.50000000e+01  6.00000000e-01  1.10000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70543356e-03  6.82916723e-09 -3.70543356e-03  7.41086029e-03 
 2.50000000e+01  6.50000000e-01  1.10000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543250e-03  4.70553907e-09 -3.70543250e-03  7.41086029e-03 
 2.50000000e+01  7.00000000e-01  1.10000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70543167e-03  3.05395886e-09 -3.70543167e-03  7.41086029e-03 
 2.50000000e+01  7.50000000e-01  1.10000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543105e-03  1.80892279e-09 -3.70543105e-03  7.41086029e-03 
 2.50000000e+01  8.00000000e-01  1.10000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70543061e-03  9.15587162e-10 -3.70543061e-03  7.41086029e-03 
 2.50000000e+01  8.50000000e-01  1.10000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543032e-03  3.47150308e-10 -3.70543032e-03  7.41086029e-03 
 2.50000000e+01  9.00000000e-01  1.10000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00 -3.70543019e-03  8.08806355e-11 -3.70543019e-03  7.41086030e-03 
 2.50000000e+01  9.50000000e-01  1.10000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00 -3.70543015e-03 -1.74882331e-11 -3.70543015e-03  7.41086031e-03 
 2.50000000e+01  1.00000000e+00  1.10000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00 -3.70543009e-03 -2.25515162e-10 -3.70543009e-03  7.41086041e-03 
 2.50000000e+01  1.05000000e+00  1.10000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00 -3.70542962e-03 -1.92025107e-09 -3.70542962e-03  7.41086115e-03 
 2.50000000e+01  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00 -3.70542679e-03 -1.19276526e-08 -3.70542679e-03  7.41086551e-03 
