 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00 -3.30509569e-03  3.36796700e-08 -3.30509569e-03  6.61015769e-03 
 2.50000000e+01  5.00000000e-02  1.10000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00 -3.30509295e-03  2.79734946e-08 -3.30509295e-03  6.61015793e-03 
 2.50000000e+01  1.00000000e-01  1.10000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30509064e-03  2.32541401e-08 -3.30509064e-03  6.61015802e-03 
 2.50000000e+01  1.50000000e-01  1.10000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508867e-03  1.92742113e-08 -3.30508867e-03  6.61015806e-03 
 2.50000000e+01  2.00000000e-01  1.10000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30508698e-03  1.58844113e-08 -3.30508698e-03  6.61015807e-03 
 2.50000000e+01  2.50000000e-01  1.10000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508553e-03  1.29891755e-08 -3.30508553e-03  6.61015807e-03 
 2.50000000e+01  3.00000000e-01  1.10000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30508430e-03  1.05201599e-08 -3.30508430e-03  6.61015807e-03 
 2.50000000e+01  3.50000000e-01  1.10000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508325e-03  8.42319858e-09 -3.30508325e-03  6.61015807e-03 
 2.50000000e+01  4.00000000e-01  1.10000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30508236e-03  6.65251632e-09 -3.30508236e-03  6.61015807e-03 
 2.50000000e+01  4.50000000e-01  1.10000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508162e-03  5.16820986e-09 -3.30508162e-03  6.61015807e-03 
 2.50000000e+01  5.00000000e-01  1.10000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30508100e-03  3.93506117e-09 -3.30508100e-03  6.61015807e-03 
 2.50000000e+01  5.50000000e-01  1.10000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508050e-03  2.92187874e-09 -3.30508050e-03  6.61015807e-03 
 2.50000000e+01  6.00000000e-01  1.10000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30508009e-03  2.10096207e-09 -3.30508009e-03  6.61015807e-03 
 2.50000000e+01  6.50000000e-01  1.10000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30507976e-03  1.44759227e-09 -3.30507976e-03  6.61015807e-03 
 2.50000000e+01  7.00000000e-01  1.10000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30507951e-03  9.39485822e-10 -3.30507951e-03  6.61015807e-03 
 2.50000000e+01  7.50000000e-01  1.10000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30507932e-03  5.56474866e-10 -3.30507932e-03  6.61015807e-03 
 2.50000000e+01  8.00000000e-01  1.10000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30507918e-03  2.81666246e-10 -3.30507918e-03  6.61015807e-03 
 2.50000000e+01  8.50000000e-01  1.10000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30507909e-03  1.06799902e-10 -3.30507909e-03  6.61015807e-03 
 2.50000000e+01  9.00000000e-01  1.10000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00 -3.30507905e-03  2.48689958e-11 -3.30507905e-03  6.61015807e-03 
 2.50000000e+01  9.50000000e-01  1.10000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00 -3.30508290e-03 -5.50670620e-12 -3.30508290e-03  6.61016580e-03 
 2.50000000e+01  1.00000000e+00  1.10000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00 -3.30508288e-03 -7.03455072e-11 -3.30508288e-03  6.61016583e-03 
 2.50000000e+01  1.05000000e+00  1.10000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00 -3.30508273e-03 -5.97630390e-10 -3.30508273e-03  6.61016607e-03 
 2.50000000e+01  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00 -3.30508187e-03 -3.70383546e-09 -3.30508187e-03  6.61016745e-03 
