 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00 -3.43341688e-03  5.26247651e-08 -3.43341688e-03  6.86678114e-03 
 2.50000000e+01  5.00000000e-02  1.10000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00 -3.43341260e-03  4.37086982e-08 -3.43341260e-03  6.86678150e-03 
 2.50000000e+01  1.00000000e-01  1.10000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43340899e-03  3.63346383e-08 -3.43340899e-03  6.86678164e-03 
 2.50000000e+01  1.50000000e-01  1.10000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43340591e-03  3.01159846e-08 -3.43340591e-03  6.86678170e-03 
 2.50000000e+01  2.00000000e-01  1.10000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43340327e-03  2.48194330e-08 -3.43340327e-03  6.86678172e-03 
 2.50000000e+01  2.50000000e-01  1.10000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43340101e-03  2.02956518e-08 -3.43340101e-03  6.86678172e-03 
 2.50000000e+01  3.00000000e-01  1.10000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339908e-03  1.64378413e-08 -3.43339908e-03  6.86678173e-03 
 2.50000000e+01  3.50000000e-01  1.10000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339744e-03  1.31613671e-08 -3.43339744e-03  6.86678173e-03 
 2.50000000e+01  4.00000000e-01  1.10000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339606e-03  1.03947020e-08 -3.43339606e-03  6.86678173e-03 
 2.50000000e+01  4.50000000e-01  1.10000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339490e-03  8.07549005e-09 -3.43339490e-03  6.86678173e-03 
 2.50000000e+01  5.00000000e-01  1.10000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339394e-03  6.14870688e-09 -3.43339394e-03  6.86678173e-03 
 2.50000000e+01  5.50000000e-01  1.10000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339315e-03  4.56560567e-09 -3.43339315e-03  6.86678173e-03 
 2.50000000e+01  6.00000000e-01  1.10000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339250e-03  3.28290772e-09 -3.43339250e-03  6.86678173e-03 
 2.50000000e+01  6.50000000e-01  1.10000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339199e-03  2.26199193e-09 -3.43339199e-03  6.86678172e-03 
 2.50000000e+01  7.00000000e-01  1.10000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339160e-03  1.46803991e-09 -3.43339160e-03  6.86678172e-03 
 2.50000000e+01  7.50000000e-01  1.10000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339130e-03  8.69548877e-10 -3.43339130e-03  6.86678172e-03 
 2.50000000e+01  8.00000000e-01  1.10000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339108e-03  4.40128822e-10 -3.43339108e-03  6.86678172e-03 
 2.50000000e+01  8.50000000e-01  1.10000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339095e-03  1.66882508e-10 -3.43339095e-03  6.86678173e-03 
 2.50000000e+01  9.00000000e-01  1.10000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00 -3.43339088e-03  3.88649113e-11 -3.43339088e-03  6.86678173e-03 
 2.50000000e+01  9.50000000e-01  1.10000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00 -3.43339086e-03 -8.54427640e-12 -3.43339086e-03  6.86678173e-03 
 2.50000000e+01  1.00000000e+00  1.10000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00 -3.43339084e-03 -1.09452003e-10 -3.43339084e-03  6.86678178e-03 
 2.50000000e+01  1.05000000e+00  1.10000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00 -3.43339061e-03 -9.30515220e-10 -3.43339061e-03  6.86678215e-03 
 2.50000000e+01  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00 -3.43338926e-03 -5.77091619e-09 -3.43338926e-03  6.86678429e-03 
