 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00 -3.53866598e-03  7.15700029e-08 -3.53866598e-03  7.07726039e-03 
 2.50000000e+01  5.00000000e-02  1.10000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00 -3.53866016e-03  5.94439587e-08 -3.53866016e-03  7.07726087e-03 
 2.50000000e+01  1.00000000e-01  1.10000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53865524e-03  4.94151583e-08 -3.53865524e-03  7.07726107e-03 
 2.50000000e+01  1.50000000e-01  1.10000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53865105e-03  4.09577720e-08 -3.53865105e-03  7.07726115e-03 
 2.50000000e+01  2.00000000e-01  1.10000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53864746e-03  3.37544754e-08 -3.53864746e-03  7.07726118e-03 
 2.50000000e+01  2.50000000e-01  1.10000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53864439e-03  2.76021601e-08 -3.53864439e-03  7.07726118e-03 
 2.50000000e+01  3.00000000e-01  1.10000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53864177e-03  2.23555703e-08 -3.53864177e-03  7.07726118e-03 
 2.50000000e+01  3.50000000e-01  1.10000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863954e-03  1.78995971e-08 -3.53863954e-03  7.07726118e-03 
 2.50000000e+01  4.00000000e-01  1.10000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863766e-03  1.41369605e-08 -3.53863766e-03  7.07726118e-03 
 2.50000000e+01  4.50000000e-01  1.10000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863608e-03  1.09828522e-08 -3.53863608e-03  7.07726118e-03 
 2.50000000e+01  5.00000000e-01  1.10000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863477e-03  8.36243785e-09 -3.53863477e-03  7.07726118e-03 
 2.50000000e+01  5.50000000e-01  1.10000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863370e-03  6.20941831e-09 -3.53863370e-03  7.07726118e-03 
 2.50000000e+01  6.00000000e-01  1.10000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863282e-03  4.46493287e-09 -3.53863282e-03  7.07726118e-03 
 2.50000000e+01  6.50000000e-01  1.10000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863213e-03  3.07645642e-09 -3.53863213e-03  7.07726118e-03 
 2.50000000e+01  7.00000000e-01  1.10000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863159e-03  1.99664285e-09 -3.53863159e-03  7.07726118e-03 
 2.50000000e+01  7.50000000e-01  1.10000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863118e-03  1.18265087e-09 -3.53863118e-03  7.07726118e-03 
 2.50000000e+01  8.00000000e-01  1.10000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863089e-03  5.98605610e-10 -3.53863089e-03  7.07726118e-03 
 2.50000000e+01  8.50000000e-01  1.10000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863071e-03  2.26968222e-10 -3.53863071e-03  7.07726118e-03 
 2.50000000e+01  9.00000000e-01  1.10000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00 -3.53863062e-03  5.28670441e-11 -3.53863062e-03  7.07726118e-03 
 2.50000000e+01  9.50000000e-01  1.10000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00 -3.53863059e-03 -1.15498722e-11 -3.53863059e-03  7.07726119e-03 
 2.50000000e+01  1.00000000e+00  1.10000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00 -3.53863056e-03 -1.48324020e-10 -3.53863056e-03  7.07726126e-03 
 2.50000000e+01  1.05000000e+00  1.10000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00 -3.53863024e-03 -1.26173028e-09 -3.53863024e-03  7.07726175e-03 
 2.50000000e+01  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00 -3.53862841e-03 -7.82967646e-09 -3.53862841e-03  7.07726464e-03 
