 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.80239595e-04  5.46675738e-08 -4.30137455e-03  4.12108029e-03 
 2.50000000e+01  5.00000000e-02  0.00000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00  1.74661672e-04  4.49649875e-08 -4.29578833e-03  4.12108169e-03 
 2.50000000e+01  1.00000000e-01  0.00000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00  1.68703151e-04  3.73178898e-08 -4.28982278e-03  4.12108231e-03 
 2.50000000e+01  1.50000000e-01  0.00000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00  1.62345492e-04  3.10285445e-08 -4.28345908e-03  4.12108256e-03 
 2.50000000e+01  2.00000000e-01  0.00000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00  1.55568326e-04  2.56883268e-08 -4.27667666e-03  4.12108265e-03 
 2.50000000e+01  2.50000000e-01  0.00000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00  1.48349179e-04  2.10704281e-08 -4.26945292e-03  4.12108267e-03 
 2.50000000e+01  3.00000000e-01  0.00000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00  1.40663046e-04  1.70426888e-08 -4.26176277e-03  4.12108268e-03 
 2.50000000e+01  3.50000000e-01  0.00000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00  1.32481817e-04  1.35168672e-08 -4.25357801e-03  4.12108268e-03 
 2.50000000e+01  4.00000000e-01  0.00000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00  1.23773691e-04  1.04244928e-08 -4.24486679e-03  4.12108268e-03 
 2.50000000e+01  4.50000000e-01  0.00000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00  1.14502995e-04  7.70663666e-09 -4.23559338e-03  4.12108268e-03 
 2.50000000e+01  5.00000000e-01  0.00000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00  1.04631397e-04  5.30980548e-09 -4.22571938e-03  4.12108268e-03 
 2.50000000e+01  5.50000000e-01  0.00000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00  9.41226910e-05  3.18425331e-09 -4.21520855e-03  4.12108268e-03 
 2.50000000e+01  6.00000000e-01  0.00000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00  8.29553660e-05  1.28317534e-09 -4.20403932e-03  4.12108267e-03 
 2.50000000e+01  6.50000000e-01  0.00000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00  7.11501308e-05 -4.37835990e-10 -4.19223238e-03  4.12108269e-03 
 2.50000000e+01  7.00000000e-01  0.00000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00  5.88218531e-05 -2.02123340e-09 -4.17990251e-03  4.12108267e-03 
 2.50000000e+01  7.50000000e-01  0.00000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00  4.62606640e-05 -3.50753648e-09 -4.16733983e-03  4.12108267e-03 
 2.50000000e+01  8.00000000e-01  0.00000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00  3.40206384e-05 -4.93265029e-09 -4.15509838e-03  4.12108267e-03 
 2.50000000e+01  8.50000000e-01  0.00000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00  2.29336042e-05 -6.31715436e-09 -4.14400996e-03  4.12108267e-03 
 2.50000000e+01  9.00000000e-01  0.00000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00  1.39140921e-05 -7.68417063e-09 -4.13498908e-03  4.12108268e-03 
 2.50000000e+01  9.50000000e-01  0.00000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00  7.53509076e-06 -9.14431020e-09 -4.12860864e-03  4.12108269e-03 
 2.50000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00  3.68233351e-06 -1.09071703e-08 -4.12475422e-03  4.12108279e-03 
 2.50000000e+01  1.05000000e+00  0.00000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00  1.67673174e-06 -1.39005856e-08 -4.12274639e-03  4.12108356e-03 
 2.50000000e+01  1.10000000e+00  0.00000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00  7.41459803e-07 -2.27336789e-08 -4.12180678e-03  4.12108805e-03 
