 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00  1.32526058e-04  4.01964125e-08 -4.12799485e-03  3.99542860e-03 
 2.50000000e+01  5.00000000e-02  0.00000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00  1.28424841e-04  3.30623877e-08 -4.12388754e-03  3.99542963e-03 
 2.50000000e+01  1.00000000e-01  0.00000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00  1.24043773e-04  2.74396273e-08 -4.11950131e-03  3.99543009e-03 
 2.50000000e+01  1.50000000e-01  0.00000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00  1.19369218e-04  2.28151457e-08 -4.11482231e-03  3.99543028e-03 
 2.50000000e+01  2.00000000e-01  0.00000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00  1.14386191e-04  1.88885185e-08 -4.10983542e-03  3.99543034e-03 
 2.50000000e+01  2.50000000e-01  0.00000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00  1.09078158e-04  1.54929967e-08 -4.10452401e-03  3.99543036e-03 
 2.50000000e+01  3.00000000e-01  0.00000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00  1.03426721e-04  1.25314115e-08 -4.09886962e-03  3.99543036e-03 
 2.50000000e+01  3.50000000e-01  0.00000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00  9.74111962e-05  9.93888483e-09 -4.09285150e-03  3.99543036e-03 
 2.50000000e+01  4.00000000e-01  0.00000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00  9.10081802e-05  7.66506947e-09 -4.08644621e-03  3.99543036e-03 
 2.50000000e+01  4.50000000e-01  0.00000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00  8.41914188e-05  5.66663827e-09 -4.07962745e-03  3.99543036e-03 
 2.50000000e+01  5.00000000e-01  0.00000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00  7.69327008e-05  3.90425692e-09 -4.07236697e-03  3.99543036e-03 
 2.50000000e+01  5.50000000e-01  0.00000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00  6.92053809e-05  2.34134623e-09 -4.06463808e-03  3.99543036e-03 
 2.50000000e+01  6.00000000e-01  0.00000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00  6.09936344e-05  9.43491951e-10 -4.05642494e-03  3.99543036e-03 
 2.50000000e+01  6.50000000e-01  0.00000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00  5.23127169e-05 -3.21956239e-10 -4.04774276e-03  3.99543036e-03 
 2.50000000e+01  7.00000000e-01  0.00000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00  4.32471849e-05 -1.48621737e-09 -4.03867606e-03  3.99543036e-03 
 2.50000000e+01  7.50000000e-01  0.00000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00  3.40105570e-05 -2.57908273e-09 -4.02943834e-03  3.99543036e-03 
 2.50000000e+01  8.00000000e-01  0.00000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00  2.50104964e-05 -3.62695562e-09 -4.02043723e-03  3.99543036e-03 
 2.50000000e+01  8.50000000e-01  0.00000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00  1.68588368e-05 -4.64496885e-09 -4.01228455e-03  3.99543036e-03 
 2.50000000e+01  9.00000000e-01  0.00000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00  1.02279537e-05 -5.65012925e-09 -4.00565266e-03  3.99543036e-03 
 2.50000000e+01  9.50000000e-01  0.00000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00  5.53876239e-06 -6.72377798e-09 -4.00096241e-03  3.99543037e-03 
 2.50000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00  2.70680638e-06 -8.02014455e-09 -3.99812923e-03  3.99543045e-03 
 2.50000000e+01  1.05000000e+00  0.00000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00  1.23261692e-06 -1.02221973e-08 -3.99665341e-03  3.99543101e-03 
 2.50000000e+01  1.10000000e+00  0.00000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00  5.45126025e-07 -1.67217493e-08 -3.99596272e-03  3.99543432e-03 
