 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00  3.71106272e-04  1.12553614e-07 -4.84683480e-03  4.47561597e-03 
 2.50000000e+01  5.00000000e-02  0.00000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00  3.59620713e-04  9.25758323e-08 -4.83533213e-03  4.47561885e-03 
 2.50000000e+01  1.00000000e-01  0.00000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00  3.47351561e-04  7.68309458e-08 -4.82304851e-03  4.47562012e-03 
 2.50000000e+01  1.50000000e-01  0.00000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00  3.34260690e-04  6.38819940e-08 -4.80994520e-03  4.47562063e-03 
 2.50000000e+01  2.00000000e-01  0.00000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00  3.20306214e-04  5.28873920e-08 -4.79597991e-03  4.47562081e-03 
 2.50000000e+01  2.50000000e-01  0.00000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00  3.05441939e-04  4.33800200e-08 -4.78110618e-03  4.47562086e-03 
 2.50000000e+01  3.00000000e-01  0.00000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00  2.89616477e-04  3.50877100e-08 -4.76527244e-03  4.47562087e-03 
 2.50000000e+01  3.50000000e-01  0.00000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00  2.72772081e-04  2.78287576e-08 -4.74842078e-03  4.47562087e-03 
 2.50000000e+01  4.00000000e-01  0.00000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00  2.54843440e-04  2.14621835e-08 -4.73048577e-03  4.47562087e-03 
 2.50000000e+01  4.50000000e-01  0.00000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00  2.35757304e-04  1.58666615e-08 -4.71139404e-03  4.47562087e-03 
 2.50000000e+01  5.00000000e-01  0.00000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00  2.15434964e-04  1.09320568e-08 -4.69106676e-03  4.47562086e-03 
 2.50000000e+01  5.50000000e-01  0.00000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00  1.93802067e-04  6.55595311e-09 -4.66942949e-03  4.47562086e-03 
 2.50000000e+01  6.00000000e-01  0.00000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00  1.70814389e-04  2.64198463e-09 -4.64643789e-03  4.47562086e-03 
 2.50000000e+01  6.50000000e-01  0.00000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00  1.46514338e-04 -9.01277497e-10 -4.62214059e-03  4.47562716e-03 
 2.50000000e+01  7.00000000e-01  0.00000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00  1.21137634e-04 -4.16123358e-09 -4.59675434e-03  4.47562086e-03 
 2.50000000e+01  7.50000000e-01  0.00000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00  9.52800976e-05 -7.22130622e-09 -4.57089374e-03  4.47562086e-03 
 2.50000000e+01  8.00000000e-01  0.00000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00  7.00803980e-05 -1.01554065e-08 -4.54569110e-03  4.47562086e-03 
 2.50000000e+01  8.50000000e-01  0.00000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00  4.72495347e-05 -1.30058861e-08 -4.52285739e-03  4.47562086e-03 
 2.50000000e+01  9.00000000e-01  0.00000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00  2.86709541e-05 -1.58203244e-08 -4.50427600e-03  4.47562086e-03 
 2.50000000e+01  9.50000000e-01  0.00000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00  1.55275780e-05 -1.88263400e-08 -4.49113593e-03  4.47562718e-03 
 2.50000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00  7.58769609e-06 -2.24545871e-08 -4.48318635e-03  4.47562110e-03 
 2.50000000e+01  1.05000000e+00  0.00000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00  3.45431662e-06 -2.86092892e-08 -4.47904838e-03  4.47562267e-03 
 2.50000000e+01  1.10000000e+00  0.00000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00  1.52706118e-06 -4.67574770e-08 -4.47711839e-03  4.47563809e-03 
