 temp-sweep      abs(v(alim))    v(drain)        v(gate)         v(source)       v(body)         i(Vd)           i(Vg)           i(Vs)           i(Vb)          
 2.50000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10000000e+00  0.00000000e+00  3.71049722e-05  1.12547434e-08 -3.68297027e-03  3.64585405e-03 
 2.50000000e+01  5.00000000e-02  0.00000000e+00  5.00000000e-02  1.10000000e+00  0.00000000e+00  3.59567813e-05  9.25739085e-09 -3.68182038e-03  3.64585434e-03 
 2.50000000e+01  1.00000000e-01  0.00000000e+00  1.00000000e-01  1.10000000e+00  0.00000000e+00  3.47302328e-05  7.68309816e-09 -3.68059239e-03  3.64585447e-03 
 2.50000000e+01  1.50000000e-01  0.00000000e+00  1.50000000e-01  1.10000000e+00  0.00000000e+00  3.34215047e-05  6.38827036e-09 -3.67928241e-03  3.64585452e-03 
 2.50000000e+01  2.00000000e-01  0.00000000e+00  2.00000000e-01  1.10000000e+00  0.00000000e+00  3.20263959e-05  5.28881827e-09 -3.67788622e-03  3.64585454e-03 
 2.50000000e+01  2.50000000e-01  0.00000000e+00  2.50000000e-01  1.10000000e+00  0.00000000e+00  3.05402706e-05  4.33806413e-09 -3.67639915e-03  3.64585454e-03 
 2.50000000e+01  3.00000000e-01  0.00000000e+00  3.00000000e-01  1.10000000e+00  0.00000000e+00  2.89579683e-05  3.50881191e-09 -3.67481602e-03  3.64585455e-03 
 2.50000000e+01  3.50000000e-01  0.00000000e+00  3.50000000e-01  1.10000000e+00  0.00000000e+00  2.72736852e-05  2.78289658e-09 -3.67313101e-03  3.64585455e-03 
 2.50000000e+01  4.00000000e-01  0.00000000e+00  4.00000000e-01  1.10000000e+00  0.00000000e+00  2.54808539e-05  2.14621920e-09 -3.67133755e-03  3.64585455e-03 
 2.50000000e+01  4.50000000e-01  0.00000000e+00  4.50000000e-01  1.10000000e+00  0.00000000e+00  2.35721048e-05  1.58665259e-09 -3.66942824e-03  3.64585455e-03 
 2.50000000e+01  5.00000000e-01  0.00000000e+00  5.00000000e-01  1.10000000e+00  0.00000000e+00  2.15395189e-05  1.09318243e-09 -3.66739516e-03  3.64585454e-03 
 2.50000000e+01  5.50000000e-01  0.00000000e+00  5.50000000e-01  1.10000000e+00  0.00000000e+00  1.93756181e-05  6.55560939e-10 -3.66523082e-03  3.64585454e-03 
 2.50000000e+01  6.00000000e-01  0.00000000e+00  6.00000000e-01  1.10000000e+00  0.00000000e+00  1.70759656e-05  2.64162026e-10 -3.66293077e-03  3.64585454e-03 
 2.50000000e+01  6.50000000e-01  0.00000000e+00  6.50000000e-01  1.10000000e+00  0.00000000e+00  1.46448548e-05 -9.01607677e-11 -3.66049932e-03  3.64585456e-03 
 2.50000000e+01  7.00000000e-01  0.00000000e+00  7.00000000e-01  1.10000000e+00  0.00000000e+00  1.21060337e-05 -4.16155999e-10 -3.65796016e-03  3.64585454e-03 
 2.50000000e+01  7.50000000e-01  0.00000000e+00  7.50000000e-01  1.10000000e+00  0.00000000e+00  9.51942962e-06 -7.22153004e-10 -3.65537325e-03  3.64585454e-03 
 2.50000000e+01  8.00000000e-01  0.00000000e+00  8.00000000e-01  1.10000000e+00  0.00000000e+00  6.99938230e-06 -1.01555386e-09 -3.65285291e-03  3.64585454e-03 
 2.50000000e+01  8.50000000e-01  0.00000000e+00  8.50000000e-01  1.10000000e+00  0.00000000e+00  4.71735315e-06 -1.30059519e-09 -3.65057060e-03  3.64585454e-03 
 2.50000000e+01  9.00000000e-01  0.00000000e+00  9.00000000e-01  1.10000000e+00  0.00000000e+00  2.86155090e-06 -1.58203406e-09 -3.64871451e-03  3.64585454e-03 
 2.50000000e+01  9.50000000e-01  0.00000000e+00  9.50000000e-01  1.10000000e+00  0.00000000e+00  1.54952781e-06 -1.88267535e-09 -3.64740219e-03  3.64585455e-03 
 2.50000000e+01  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.10000000e+00  0.00000000e+00  7.57304449e-07 -2.24576269e-09 -3.64660963e-03  3.64585457e-03 
 2.50000000e+01  1.05000000e+00  0.00000000e+00  1.05000000e+00  1.10000000e+00  0.00000000e+00  3.44924516e-07 -2.86311419e-09 -3.64619679e-03  3.64585473e-03 
 2.50000000e+01  1.10000000e+00  0.00000000e+00  1.10000000e+00  1.10000000e+00  0.00000000e+00  1.52585828e-07 -4.68649830e-09 -3.64600356e-03  3.64585566e-03 
