Temperature,Vdd,Va,Vb,Vx,LeakagePower
25.0,1.1,0.0,0.0,0.0795450182,-6.16410383e-09
25.0,1.1,0.0,1.1,7.54817731e-05,-3.22279081e-08
25.0,1.1,1.1,0.0,0.916780954,-8.06619675e-09
25.0,0.0,1.1,1.1,3.88422226e-05,-3.6483266e-08
